"orig_nr","table","date","FamilyName","GivenName","Name","item","itemLabel","birthdate","deathdate","nationalityLabel","itemDescription"
697,"budapest","1936-1969","Langer","Klára","Langer Klára","http://www.wikidata.org/entity/Q29021845","Klára Langer","1912-01-23T00:00:00Z","1973-05-20T00:00:00Z","Hungary","Hungarian photographer"
708,"budapest","1943-1947","Leichtner","Erzsébet","Leichtner Erzsébet","http://www.wikidata.org/entity/Q102442775","Erzsébet Leichtner","1915-10-14T00:00:00Z","2005-01-01T00:00:00Z","Hungary","Hungarian photographer"
712,"budapest","1939","Lengyel","Lajos","Lengyel Lajos","http://www.wikidata.org/entity/Q223584","Lajos Lengyel","1904-12-05T00:00:00Z","1978-01-10T00:00:00Z","Hungary","(1904–1978) magyar grafikus, tipográfus, könyvművész és fotóművész"
1172,"hungary","1905","Lengyel","Lajos","Lengyel Lajos","http://www.wikidata.org/entity/Q223584","Lajos Lengyel","1904-12-05T00:00:00Z","1978-01-10T00:00:00Z","Hungary","(1904–1978) magyar grafikus, tipográfus, könyvművész és fotóművész"
1183,"hungary","1904-1914","Letzter","József","Letzter József","http://www.wikidata.org/entity/Q111164432","József Letzter","1874-01-01T00:00:00Z","1944-01-01T00:00:00Z","Hungary","photographer, film director, cinematographer"
785,"budapest","1945-1950 k.","Reismann","Marian","Reismann Marian","http://www.wikidata.org/entity/Q30611320","Marian Reismann","1911-12-23T00:00:00Z","1991-09-28T00:00:00Z","Hungary","Hungarian photographer"
789,"budapest","1912-1937","Máté","Olga","Máté Olga","http://www.wikidata.org/entity/Q1212706","Olga Máté","1878-01-01T00:00:00Z","1961-04-05T00:00:00Z","Hungary","Hungarian photographer"
790,"budapest","1899-1912","Máté","Olga","Máté Olga","http://www.wikidata.org/entity/Q1212706","Olga Máté","1878-01-01T00:00:00Z","1961-04-05T00:00:00Z","Hungary","Hungarian photographer"
1339,"hungary","1861-1880","Mihály","József","Mihály József","http://www.wikidata.org/entity/Q115299837","József Mihály","1840-01-01T00:00:00Z","","Hungary","photographer, active in Eger, Hungary, in 1860s"
837,"budapest","1900-1914. nyara","Müllner","János","Müllner János","http://www.wikidata.org/entity/Q112763761","János Müllner","1870-01-01T00:00:00Z","1925-01-01T00:00:00Z","Hungary","Hungarian photographer (1870–1925)"
838,"budapest","1914 nyara - 1925.","Müllner","János","Müllner János","http://www.wikidata.org/entity/Q112763761","János Müllner","1870-01-01T00:00:00Z","1925-01-01T00:00:00Z","Hungary","Hungarian photographer (1870–1925)"
901,"budapest","1912-1951 k","Pécsi","József","Pécsi József","http://www.wikidata.org/entity/Q1242800","József Pécsi","1889-04-01T00:00:00Z","1956-10-07T00:00:00Z","Hungary","Hungarian photographer (1889-1956)"
1581,"hungary","1881-1885","Ravasz","Imre","Ravasz Imre","http://www.wikidata.org/entity/Q107453586","Imre Ravasz","","","Hungary","photographer"
1582,"hungary","1910 k.","Ravasz","Imre","Ravasz Imre","http://www.wikidata.org/entity/Q107453586","Imre Ravasz","","","Hungary","photographer"
1583,"hungary","1881-1890","Ravasz","Imre","Ravasz Imre","http://www.wikidata.org/entity/Q107453586","Imre Ravasz","","","Hungary","photographer"
1580,"hungary","1873-1890","Ravasz","Imre","Ravasz Imre","http://www.wikidata.org/entity/Q107453586","Imre Ravasz","","","Hungary","photographer"
1627,"hungary","1900-1920","Rónai","Dénes","Rónai Dénes","http://www.wikidata.org/entity/Q70690874","Dénes Rónai","1875-07-10T00:00:00Z","1964-04-08T00:00:00Z","Hungary","Hungarian photographer, puppeteer, film director, cinematographer and photo artist (1875-1964)"
1628,"hungary","1910 k.","Rónai","Dénes","Rónai Dénes","http://www.wikidata.org/entity/Q70690874","Dénes Rónai","1875-07-10T00:00:00Z","1964-04-08T00:00:00Z","Hungary","Hungarian photographer, puppeteer, film director, cinematographer and photo artist (1875-1964)"
996,"budapest","1930-1940 k","Rónai","Dénes","Rónai Dénes","http://www.wikidata.org/entity/Q70690874","Dénes Rónai","1875-07-10T00:00:00Z","1964-04-08T00:00:00Z","Hungary","Hungarian photographer, puppeteer, film director, cinematographer and photo artist (1875-1964)"
1004,"budapest","1940-1944","Rozgonyi","Dezső","Rozgonyi Dezső","http://www.wikidata.org/entity/Q38200877","Dezső Rozgonyi","1850-01-01T00:00:00Z","1950-01-01T00:00:00Z","Hungary","Hungarian photographer"
1002,"budapest","1898-1955","Rozgonyi","Dezső","Rozgonyi Dezső","http://www.wikidata.org/entity/Q38200877","Dezső Rozgonyi","1850-01-01T00:00:00Z","1950-01-01T00:00:00Z","Hungary","Hungarian photographer"
673,"world","1927-","Rózsa","László","Rózsa László","http://www.wikidata.org/entity/Q100742030","László Rózsa","1898-10-26T00:00:00Z","1969-12-31T00:00:00Z","Hungary","Hungarian journalist, photographer (1898–1969)"
1006,"budapest",NA,"Rózsa","László","Rózsa László","http://www.wikidata.org/entity/Q100742030","László Rózsa","1898-10-26T00:00:00Z","1969-12-31T00:00:00Z","Hungary","Hungarian journalist, photographer (1898–1969)"
1045,"budapest","1886-1910","Schmidt","Ede","Schmidt Ede","http://www.wikidata.org/entity/Q87113733","Ede Schmidt","1857-01-01T00:00:00Z","1933-01-01T00:00:00Z","Hungary","Hungarian photographer"
1046,"budapest","1880-as évek","Schmidt","Ede","Schmidt Ede","http://www.wikidata.org/entity/Q87113733","Ede Schmidt","1857-01-01T00:00:00Z","1933-01-01T00:00:00Z","Hungary","Hungarian photographer"
1047,"budapest","1911-1932","Brunhuber","Béla","Brunhuber Béla","http://www.wikidata.org/entity/Q42770149","Béla Brunhuber","1874-05-19T00:00:00Z","1953-02-12T00:00:00Z","Hungary","(1874–1953) Hungarian photographer"
1054,"budapest","1900-1919","Schoch","Frigyes","Schoch Frigyes","http://www.wikidata.org/entity/Q57268492","Frigyes Schoch","","1924-01-01T00:00:00Z","Hungary","Hungarian entrepreneur and photographer"
1731,"hungary","1863-1870","Simonyi","Antal","Simonyi Antal","http://www.wikidata.org/entity/Q18511590","Antal Simonyi","1821-06-03T00:00:00Z","1892-01-03T00:00:00Z","Hungary","Hungarian photographer (1821-1892)"
1082,"budapest","1856-1867","Simonyi","Antal","Simonyi Antal","http://www.wikidata.org/entity/Q18511590","Antal Simonyi","1821-06-03T00:00:00Z","1892-01-03T00:00:00Z","Hungary","Hungarian photographer (1821-1892)"
1083,"budapest","1864-1871","Simonyi","Antal","Simonyi Antal","http://www.wikidata.org/entity/Q18511590","Antal Simonyi","1821-06-03T00:00:00Z","1892-01-03T00:00:00Z","Hungary","Hungarian photographer (1821-1892)"
1084,"budapest","1871-1880","Simonyi","Antal","Simonyi Antal","http://www.wikidata.org/entity/Q18511590","Antal Simonyi","1821-06-03T00:00:00Z","1892-01-03T00:00:00Z","Hungary","Hungarian photographer (1821-1892)"
1837,"hungary","1875","Szabó","Sándor","Szabó Sándor","http://www.wikidata.org/entity/Q874551","Sándor Szabó","1962-01-28T00:00:00Z","","Hungary","(1962-) magyar fotográfus, szerkesztő-rendező, producer"
1838,"hungary","1910-1911","Szabó","Sándor","Szabó Sándor","http://www.wikidata.org/entity/Q874551","Sándor Szabó","1962-01-28T00:00:00Z","","Hungary","(1962-) magyar fotográfus, szerkesztő-rendező, producer"
1155,"budapest","1900-1920","Székely","Aladár","Székely Aladár","http://www.wikidata.org/entity/Q1302065","Aladár Székely","1870-03-05T00:00:00Z","1940-09-27T00:00:00Z","Hungary","Hungarian photographer (1870-1940)"
1156,"budapest","1902-1922","Székely","Aladár","Székely Aladár","http://www.wikidata.org/entity/Q1302065","Aladár Székely","1870-03-05T00:00:00Z","1940-09-27T00:00:00Z","Hungary","Hungarian photographer (1870-1940)"
1157,"budapest","1918-1943","Székely","Aladár","Székely Aladár","http://www.wikidata.org/entity/Q1302065","Aladár Székely","1870-03-05T00:00:00Z","1940-09-27T00:00:00Z","Hungary","Hungarian photographer (1870-1940)"
1883,"hungary","1909-1910","Szilágyi","Arthur","Szilágyi Arthur","http://www.wikidata.org/entity/Q58378565","Arthur Szilágyi","1876-04-05T00:00:00Z","1954-02-04T00:00:00Z","Hungary","Hungarian photographer"
1190,"budapest","1906-1933","Szöllősy","Kálmán","Szöllősy Kálmán","http://www.wikidata.org/entity/Q62516447","Kálmán Szöllösy","1887-09-10T00:00:00Z","1976-08-01T00:00:00Z","Hungary","Hungarian photographer"
1191,"budapest","1933-1950","Szöllősy","Kálmán","Szöllősy Kálmán","http://www.wikidata.org/entity/Q62516447","Kálmán Szöllösy","1887-09-10T00:00:00Z","1976-08-01T00:00:00Z","Hungary","Hungarian photographer"
1947,"hungary","1940","Tóth","István","Tóth István","http://www.wikidata.org/entity/Q1327210","István Tóth","1923-07-26T00:00:00Z","2016-10-15T00:00:00Z","Hungary","Hungarian photographer (1923-2016)"
1208,"budapest","1914 k.","Tóth","József","Tóth József","http://www.wikidata.org/entity/Q28723517","József Tóth","1940-05-25T00:00:00Z","","Hungary","Hungarian graphic artist (born 1940)"
1948,"hungary","1938","Tóth","József","Tóth József","http://www.wikidata.org/entity/Q28723517","József Tóth","1940-05-25T00:00:00Z","","Hungary","Hungarian graphic artist (born 1940)"
1969,"hungary","1890-1905","Uher","Ödön","Uher Ödön","http://www.wikidata.org/entity/Q1399499","Ödön Uher","1859-06-15T00:00:00Z","1931-09-19T00:00:00Z","Hungary","Hungarian photographer and filmmaker"
1218,"budapest",NA,"Uher","Ödön","Uher Ödön","http://www.wikidata.org/entity/Q1399499","Ödön Uher","1859-06-15T00:00:00Z","1931-09-19T00:00:00Z","Hungary","Hungarian photographer and filmmaker"
1219,"budapest","1890-1931","Uher","Ödön","Uher Ödön","http://www.wikidata.org/entity/Q1399499","Ödön Uher","1859-06-15T00:00:00Z","1931-09-19T00:00:00Z","Hungary","Hungarian photographer and filmmaker"
1220,"budapest","1910-1920","Uher","Ödön","Uher Ödön","http://www.wikidata.org/entity/Q1399499","Ödön Uher","1859-06-15T00:00:00Z","1931-09-19T00:00:00Z","Hungary","Hungarian photographer and filmmaker"
1221,"budapest","1922-1923","Uher","Ödön","Uher Ödön","http://www.wikidata.org/entity/Q1399499","Ödön Uher","1859-06-15T00:00:00Z","1931-09-19T00:00:00Z","Hungary","Hungarian photographer and filmmaker"
1230,"budapest","1938-1962","Vadas","Ernő","Vadas Ernő","http://www.wikidata.org/entity/Q62689991","Ernő Vadas","1899-12-17T00:00:00Z","1962-05-30T00:00:00Z","Hungary","Hungarian photographer (1899-1962)"
1244,"budapest","1937-1972","Vámos","László","Vámos László","http://www.wikidata.org/entity/Q1461732","László Vámos","1912-04-15T00:00:00Z","1983-12-02T00:00:00Z","Hungary","Hungarian photographer (1912-1983)"
1289,"budapest","1930-1950","Weinstock","Ernő","Weinstock Ernő","http://www.wikidata.org/entity/Q124526325","Ernő Weinstock","1893-08-28T00:00:00Z","1985-09-03T00:00:00Z","Hungary","Hungarian photographer (1893-1985)"
1290,"budapest","1865-1912","Weinwurm","Antal","Weinwurm Antal","http://www.wikidata.org/entity/Q33133514","Antal Weinwurm","1845-01-01T00:00:00Z","1918-07-09T00:00:00Z","Hungary","Hungarian photographer"
