irszám.	MAI CÍM	maicim_1	maicim_2	maicim_rest	Google koordináta	TÁRGY	t_n_t_s2	targy_func1_orig	targy_nev	targy_height	targy_qnt	forrás	forras_link_nr	forras_link_host	forras_link	további inf.	tov-inf_link_numbered	tov-inf_link_scheme-host	tov-inf_link_nr	orig_ln
1072	Akácfa utca 20.	Akácfa utca 20.			47.499025,19.067305	lakóház		<lakó>, ;				128-129	0			8. M; 14. M kereszt; 15. H; Vágó Ármin, a Vágó testvérek képviselőjének székhelye, http://lnyr.eleveltar.hu/BFLQuery/detail.aspx?ID=3063519 *** az ELTE Irodalomtörténeti lapjának hivatala, a Ráció kiadó itt volt, *** Magyar Műhely Galéria székhelye http://www.magyarmuhely.hu/a-galeriarol *** Kóta Ádám hentesboltja egy darabot kihasított a szürke utcából illatainak. A ressre sült töpörtyű szaga és az ecetes paradicsomok agyig ingerlő illata bekerítette az arrajárókat. Továbbá megmaradt bennem egy szegényes cukorkaüzlet, amely főleg nápolyiszeletekben volt gazdag, s ahol anyám jóvoltából korlátlan hitelem volt. És volt itt később, kamaszkoromban egy papírüzlet, ahol nagy, durvatapintású íveket vásároltam, s ezekre írtam ceruzával első regényemet, ma már sematikusnak tűnő körülmények között, hazatérve a műhelyből, napi tíz-tizenkét órás munka után. Ami az utca jellemében kifejező, markáns, az a szurdokká keskenyedő középső utcarészben jelentkezett. Először is a csarnok. Hátsó homlokzata az Akácfa utcára nézett. Ide gyülekeztek a májkereskedők üzletei, ezek francia exportra vásárolták a szegényebbektől a májat. Hangos nők, férfiak zsibogtak a csarnok körül, világos gumikötényük zsiradéktól és vértől volt síkos. A Polgárkávéházban dominóztak és huszonegyeztek a gyors adásvétel emberei. Békássy úriszabó gyönyörű fia a Rákosi Szidi színésziskolába járt, s már statisztaként galambszürke kamásnit viselt, és az utca szépségideálja volt. A Bufalo kocsmában mindennapi a verekedés, de nem ritka a lövöldözés sem. Én a szó teljes értelmében az Akácfa utca 20-ban láttam meg a napot. Egy ötemeletes ház örökké félhomályos udvari lakásában. Anyám nem ment kórházba szülni, bábaasszony segített a világba. A családi mitológia szerint burokban születtem, védőcsomagolásban, s ez előrevetítette majdani szerencsémet. Anyám megbetegedése miatt bőséges anyatejet egy cigányasszonytól kaptam./Tóbiás Áron szerk.: Írói vallomások (Irodalmi Múzeum, Budapest, 1971) • Vészi Endre: Az út elején *** XII/5.-1945. BNB. A Budapesti Nemzeti Bizottság az Akácfa-utca 20. szám alatti kórház továbbienntartása mellett dönt és a kórházat a lakók esetleges igényével szemben is a Nemzeti Bizottság védelme alatt állónak tekinti. 945. február 27-én a ház lakói kérelmet nyújtottak be a BNB-hoz, hogy szüntesse meg a szükségkórházat, mert az 40-45 család lakását foglalja el. A szükségkórházat március folyamán megszüntették. (Egészségügyi Tanács 1945. március 21-i levele. - Bp. Szfőv. Polgm. ir. 175.545/1945.-X.)/Gáspár Ferenc, Halasi László: A Budapesti Nemzeti Bizottság jegyzőkönyvei, 1945-1946. Budapest Főváros Levéltára forráskiadványai, 7. Bp. Zrínyi Ny., 1975. • A BUDAPESTI NEMZETI BIZOTTSÁG JEGYZŐKÖNYVEI (HATÁROZATAI)	(1) http://lnyr.eleveltar.hu/BFLQuery/detail.aspx?ID=3063519 (2) http://www.magyarmuhely.hu/a-galeriarol	http://lnyr.eleveltar.hu|http://www.magyarmuhely.hu	2	21
1072	Akácfa utca 43.	Akácfa utca 43.			47.499984,19.066044	ötemeletes ház				5-S<emelet>		Gerle-Kovács-Makovecz: A századforduló magyar építészete p. 229	0			kikérve, átnézve			0	22
	Akácfa utca 51.	Akácfa utca 51.				Fogasház	fogas						0						0	23
1072	Akácfa utca 7. -- Dohány utca 43.	Akácfa utca 7.	 Dohány utca 43.		47.497774,19.068667	ötemeletes ház				5-S<emelet>		MB	0			"1916-ban Porgesz módosította a terveket. A ház amúgy korábbi lehet, mert 1907-ben Stern Bernát ""kávéházi mozgófénykép előadásra"" kap engedélyt kávéházában."			0	24
1054	Akadémia utca 19-21/Garibaldi 1-3, Zoltán utca 6-8.	Akadémia utca 19-21.	 Garibaldi 1-3, Zoltán utca 6-8.		47.504591,19.046277	lakóház		<lakó>, ;				75-77	0			2,3,4 alaprajzok szkennelve!			0	25
1097	Albert Flórián út 6	Albert Flórián út 6.			47.474983,19.093309	baraképületek	barak				2--Q<db>	MZs	0			FTC edzőpálya, a '40-es évektől bontották, http://vpublic.omikk.bme.hu/epmuv/index.php?page=article&id=14146	(1) http://vpublic.omikk.bme.hu/epmuv/index.php?page=article&id=14146	http://vpublic.omikk.bme.hu	1	26
	Alkér utca 31	Alkér utca 31.				földszintes ház				0-S<emelet>			0						0	27
1123	Alkotás utca 11.	Alkotás utca 11.			47.499158, 19.023738							helyszín	0						0	28
1123	Alkotás utca 48-50	Alkotás utca 48-50.			47.491515,19.024668	műhely és épület; emeletes pavillon		<műhely>,<pavillon>		0-S<emelet>		MZs	0						0	29
	Alkotmány utca 29.	Alkotmány utca 29.				Mezõgazdasági és Vidékfejlesztési Hivatal székháza	szék	<hivatal>	'Mezõgazdasági és Vidékfejlesztési Hivatal székháza'				0						0	30
1054	Alkotmány utca 4. -- Vajkay utca 1--5. -- Szalay utca 3. -- Honvéd utca 14--18.	Alkotmány utca 4.	Vajkay utca 1-5.	Szalay utca 3. -- Honvéd utca 14-18.	47.507411,19.049381	Palatinus-ház			'Palatinus-ház'			15	0			Műemlék: 15306 - 07759/1977			0	31
	Állatkerti körút 2.	Állatkerti körút 2.				vendéglői és kávéházi épületek, Bagolyvár Étterem		<kávé>,<étterem>	'Bagolyvár Étterem'		2--Q<db>	Gerle-Kovács-Makovecz: A századforduló magyar építészete	0						0	32
	Állatkerti körút 9-11	Állatkerti körút 9-11.				Széchenyi fürdő		<fürdő>	'Széchenyi fürdő'			Gerle-Kovács-Makovecz: A századforduló magyar építészete	0						0	33
	Alma utca 1.	Alma utca 1.			47.506459,19.015166	Árkay-villa		<villa>	'Árkay-villa'			Gerle-Kovács-Makovecz: A századforduló magyar építészete	0			Az építész saját családi háza, tervek: http://www.arch.hu/tovabbi-evfordulok/145-eve-szuletett-arkay-aladar-1868-1932	(1) http://www.arch.hu/tovabbi-evfordulok/145-eve-szuletett-arkay-aladar-1868-1932	http://www.arch.hu	1	34
1122	Alma utca 9	Alma utca 9.			47.505218, 19.014193								0						0	35
	Almássy tér 17.	Almássy tér 17.										23. old.	0						0	36
1074	Almássy tér 3	Almássy tér 3.			47.501229,19.071265	ötemeletes ház				5-S<emelet>		21. old.	0						0	37
1076	Alpár utca 4. 1 em, nem ép. meg	Alpár utca 4.		**1 em, nem ép. meg	47.504224,19.086858	négyemeletes ház				4-S<emelet>		MZs	0						0	38
	Alsóerdõsor utca 2-4.	Alsóerdõsor utca 2-4.				bérház	bér						0			a ház 1912-ben épült (a Déry könyv szerint), de a tervek nincsenek meg a levéltárban; régi építettő: Pásztory István, tervező: Hild József 1838 földszintes klasszicista stílusú lakóépület			0	39
	Alsóerdõsor utca 22/A	Alsóerdõsor utca 22/A			47.501007, 19.074108	bérház, alul üzletek	bér	<üzlet>					0			1880, lakóház			0	40
1074	Alsóerdõsor utca 22/B	Alsóerdõsor utca 22/B			47.501007, 19.074108	bérház, alul üzletek	bér	<üzlet>					0			A anyagából?			0	41
1145	Amerikai út 42.	Amerikai út 42.			47.514709,19.102033	földszintes családi lakóház (kétemeletes ház)	családi	<lakó>, ;		0-S<emelet>|2-S<emelet>		MZs	0			1927-es homlokzat alakítása hasonlít a maihoz (manzárd tetőt átalakították)			0	42
1145	Amerikai út 43-Gyarmat utca 18	Amerikai út 43.	 Gyarmat utca 18.		47.516215,19.100557	emeletes ház 				?-S<emelet>			0						0	43
1145	Amerikai út 53-55	Amerikai út 53-55.			47.517483,19.098835	Gyógyíthatatlan Betegek Otthona, az egyik helyiségében zsinagóga is működött, 1954-től az Országos Idegsebészeti Tudományos Intézet	|	<otthon>,<zsinagóga>,<|>,<intézet>	'Gyógyíthatatlan Betegek Otthona' 'zsinagóga' | 'Országos Idegsebészeti Tudományos Intézet'			http://lajtaarchiv.hu/muvek/1913-tol-a-pesti-chevra-kadisa-menhaza-es-felnott-vakok-otthona/	1	lajtaarchiv.hu	(1) <http://lajtaarchiv.hu/muvek/1913-tol-a-pesti-chevra-kadisa-menhaza-es-felnott-vakok-otthona/>	http://lajtaarchiv.hu/muvek/1913-tol-a-pesti-chevra-kadisa-menhaza-es-felnott-vakok-otthona/	(1) http://lajtaarchiv.hu/muvek/1913-tol-a-pesti-chevra-kadisa-menhaza-es-felnott-vakok-otthona/	http://lajtaarchiv.hu	1	44
1145	Amerikai út 57.	Amerikai út 57.			47.518161,19.098003	A Pesti Chevra Kadisa Szeretetháza	szeretet		'A Pesti Chevra Kadisa Szeretetháza'			http://lajtaarchiv.hu/muvek/1906-1911-a-pesti-chevra-kadisa-szeretethaza/	1	lajtaarchiv.hu	(1) <http://lajtaarchiv.hu/muvek/1906-1911-a-pesti-chevra-kadisa-szeretethaza/>				0	45
1062	Andrássy út 105.	Andrássy út 105.				saját villa		<villa>				61. old. 	0			2 emeletes toldalékép.1912-13! ; http://www.budapestem.hu/budapest/epulet_tortenet/andrassy_ut_105/	(1) http://www.budapestem.hu/budapest/epulet_tortenet/andrassy_ut_105/	http://www.budapestem.hu	1	46
1062	Andrássy út 120.	Andrássy út 120.			47.513096,19.074655	Orosz Kulturális Központ		<központ>	'Orosz Kulturális Központ'				0			http://www.budapestem.hu/budapest/epulet_tortenet/andrassy_ut_120/ és http://www.ruscenter.hu/beta/hu/about.php	(1) http://www.budapestem.hu/budapest/epulet_tortenet/andrassy_ut_120/ (2) http://www.ruscenter.hu/beta/hu/about.php	http://www.budapestem.hu|http://www.ruscenter.hu	2	47
1061	Andrássy út 39.	Andrássy út 39.			47.503635,19.061481	áruház, Párisi Nagyáruház	nagy	<áru>,<áru>	'Párisi Nagyáruház'			186	0			wikipedia			0	48
1065	Andrássy utca 27.	Andrássy utca 27.			47.502481,19.059625	boltkapuzat		<boltkapuzat>				MZs	0			Elkán és Gerő szűcsök			0	49
1094	Angyal utca 35. 4 em.	Angyal utca 35.		**4 em.	47.483384,19.07054	kétemeletes ház				2-S<emelet>		MZs	0						0	50
	Angyal utca 9.	Angyal utca 9.				Lakóház		<lakó>, ;					0			-			0	51
1134	Angyalföldi út 36-38.	Angyalföldi út 36-38.			47.530762, 19.067732								0			http://www.prae.hu/index.php?route=article%2Farticle&aid=7951	(1) http://www.prae.hu/index.php?route=article%2Farticle&aid=7951	http://www.prae.hu	1	52
	Anjou bástya 4. -- Petermann bíró utca 3.	Anjou bástya 4.	 Petermann bíró utca 3.										0			http://www.mol.gov.hu/kozadat/tevekenyseg_mukodes/intezmenytortenet/lttort.html	(1) http://www.mol.gov.hu/kozadat/tevekenyseg_mukodes/intezmenytortenet/lttort.html	http://www.mol.gov.hu	1	53
1014	Anjou bástya 7. -- Kapisztrán tér 1. -- Országház utca 34. Szénraktárbővítés!	Anjou bástya 7.	Kapisztrán tér 1.	Országház utca 34. Szénraktárbővítés!	47.504646,19.028591	kétemeletes épület				2-S<emelet>		urbface	0			http://epiteszforum.hu/nyomtatas/anjou-haz. 1913-ból a Magy. Kir. Állami Nyomda szénraktárának kibővítési terve, 1914-ből kézi üzemű teherfelvonó építése	(1) http://epiteszforum.hu/nyomtatas/anjou-haz.	http://epiteszforum.hu	1	54
1051	Apáczai Csere János utca 11. -- Vigadó utca 2.	Apáczai Csere János utca 11.	 Vigadó utca 2.		47.496415,19.048916	egykor Magyar Királyi Folyam- és Tengerhajózási Rt. székháza, jelenleg MAHART székháza, eladásra vár	szék | szék	<|>	'Magyar Királyi Folyam- és Tengerhajózási Rt. székháza' | 'MAHART székháza'			21	0			Belépés csak előzetes regisztrációval			0	55
1051	Apáczai Csere János utca 5.	Apáczai Csere János utca 5.			47.494538,19.050094	Gyürky-ház, lakóház üzletekkel		<lakó>, ;<üzlet>	'Gyürky-ház'				0						0	56
	Apáczai Csere János utca 7. -- Türr István utca 3.	Apáczai Csere János utca 7.	 Türr István utca 3.			Kardetter-ház, hotel		<hotel>	'Kardetter-ház'			22	0						0	57
	Apáthy István 4--Szigony 41.	Apáthy István utca 4.	Szigony utca 41.		47.484171,19.079624	négyemeletes ház				4-S<emelet>			0						0	58
1062	Aradi utca 22	Aradi utca 22.			47.504765,19.066318	lakóház		<lakó>, ;				na. 	0						0	59
	Arany János utca 15.	Arany János utca 15.				Lakóház üzletekkel		<lakó>, <üzlet>;				26	0						0	60
1051	Arany János utca 32.	Arany János utca 32.			47.502544,19.053393	Goldberger áruház, OSA székház	szék	<áru>	'Goldberger áruház, OSA székház'				0						0	61
1051	Arany János utca 9.	Arany János utca 9.			47.502069,19.048251								0						0	62
1052	Aranykéz utca 2. -- Régiposta utca 8.	Aranykéz utca 2.	 Régiposta utca 8.		47.494435, 19.051269	lakóház üzlettel, étterem		<lakó>, ;<üzlet>,<étterem>					0			Az épületben közel több a külföldi lakó, mint magyar így az épületben minden magyarul és angolul is ki van írva.			0	63
1084	Árnyas út-Sztehlo Gábor út torkolata	Árnyas út	Sztehlo Gábor út torkolata		47.518641,18.974515	nyaraló		<nyaraló>;					0						0	64
1023	Árpád fejedelem útja 44.	Árpád fejedelem útja 44.			47.526243,19.039562								0						0	65
1041	Árpád út	Árpád út			47.562332,19.106603	víztorony		<víztorony>				na	0			fotó: muemlekem.hu			0	66
1012	Attila út 107.	Attila út 107.			47.501629,19.028009	ötemeletes ház				5-S<emelet>		MZs	0			http://library.hungaricana.hu/en/view/ORSZ_BPTM_TBM_19/?query=SZO%3D%28Attila%20út%20107.%29&pg=227&zoom=h&layout=s	(1) http://library.hungaricana.hu/en/view/ORSZ_BPTM_TBM_19/?query=SZO%3D%28Attila%20út%20107.%29&pg=227&zoom=h&layout=s	http://library.hungaricana.hu	1	67
1012	Attila út 115 - Korlát utca sarka	Attila út 115.	Korlát utca sarka		47.502114,19.027204	ötemeletes ház				5-S<emelet>		MZs	0						0	68
1012	Attila út 129	Attila út 129.			47.50351,19.026016							urbface	0						0	69
1012	Attila út 133	Attila út 133.			47.504055,19.025469	2 db ötemeletes ház				5-S<emelet>	2-Q<db>	MZs	0			nincs eredeti terv a tervtárban! Lakó szerint 1928-as			0	70
1013	Attila út 29.	Attila út 29.			47.493579,19.039266	ötemeletes ház				5-S<emelet>		MZs	0			nincs eredeti terv a tervtárban!			0	71
	Attila út 91.	Attila út 91.											0			http://epa.oszk.hu/00000/00003/00025/hadik.html	(1) http://epa.oszk.hu/00000/00003/00025/hadik.html	http://epa.oszk.hu	1	72
	Auróra utca 16.	Auróra utca 16.				lakóház		<lakó>, ;					0						0	73
1081	Auróra utca 39.	Auróra utca 39.			47.492341,19.077116	háromemeletes ház				3-S<emelet>		16. o ; MZs	0						0	74
1131	Babér utca - Tomori sarkán	Babér utca	Tomori utca sarkán		47.547710,19.077719	barakk iskolák	barakk	<iskola>			2--Q<db>	MZs	0						0	75
1084	Bacsó Béla utca 10-12	Bacsó Béla utca 10-12.			47.494989,19.071945							19. o	0						0	76
	Bacsó Béla utca 31.	Bacsó Béla utca 31.				lakóház		<lakó>, ;					0						0	77
	Bajcsy-Zsilinszky út 36.-38.	Bajcsy-Zsilinszky út 36.-38.				Toldi-mozi, lakóház (egykor a Budapest-Lipótvárosi Takarékpénztár palotája)	|	<takarékpénztár>, <palota> <|>; <lakó>, <mozi>	'Budapest-Lipótvárosi Takarékpénztár' | 'Toldi-mozi'				0						0	78
1065	Bajcsy-Zsilinszky utca 7.	Bajcsy-Zsilinszky utca 7.			47.498883,19.055135	Kasselik-alapítványi bérpalota, Lakóház 	bér	<lakó>, ;<palota>	'Kasselik-alapítványi bérpalota, Lakóház '				0			"BFL: Tervtár: 1925-ös bérház, akkori utcanév: Vilmos Császár út 7., a Kasselik citadellát ""Windsor"" Pensió átépíttette 1940 szeptemberétől, 2 átalakítási terv (Róna Tibor építész tervező), majd 1946-ban felújította Herbai Sándor tervező ; XI.814: Hável Lipót építési cég iratai 48. kisdoboz: Kasselik Ferenc és Erzsébet Alapítvány, 1914-1916, V. Vilmos császár út 7."			0	79
1062	Bajza utca 49-51.	Bajza utca 49-51.			47.514304,19.068604	Bajza Utcai Polgári Fiúiskola	fiú	<iskola>	'Bajza Utcai Polgári Fiúiskola'			Kovács Dani: Budapest Art Nouveau 63. o.; Gerle-Kovács-Makovecz: A századforduló magyar építészete p 228	0			http://mek.oszk.hu/11400/11484/11484.pdf https://www.kozterkep.hu/~/11146/a_magyar_mondavilag_hosei_budapest_horvay_janos_1917.html	(1) http://mek.oszk.hu/11400/11484/11484.pdf (2) https://www.kozterkep.hu/~/11146/a_magyar_mondavilag_hosei_budapest_horvay_janos_1917.html	http://mek.oszk.hu|https://www.kozterkep.hu	2	80
1118	Bakator utca 16.	Bakator utca 16.			47.483801,19.035979	egyemeletes ház, családi ház	családi			1-S<emelet>			0						0	81
1118	Bakator utca 20?	Bakator utca 20.		**?	47.483590, 19.035390								0						0	82
	Bakator utca?	Bakator utca		**?		egyemeletes ház				1-S<emelet>			0						0	83
1092	Bakáts tér 8 - Tompa utca 1.	Bakáts tér 8.	 Tompa utca 1.		47.483173,19.068006	ötemeletes ház				5-S<emelet>		MZs	0						0	84
1055	Balassi Bálint utca 13 - Stollár Béla utca 3.	Balassi Bálint utca 13.	 Stollár Béla utca 3.		47.510815,19.047068	ötemeletes ház				5-S<emelet>		MZs	0			V. ker. szabályozási terv (http://otker.intermap.hu)	(1) http://otker.intermap.hu)		1	85
	Balassi Bálint utca 19.	Balassi Bálint utca 19.			47.511239,19.047409							40	0						0	86
1055	Balassi Bálint utca 21-23 -- Balaton utca 3.	Balassi Bálint utca 21-23.	 Balaton utca 3.		47.511578,19.047543	lakóház		<lakó>, ;				167-168	0						0	87
	Balassi Bálint utca 23./Balaton u. 3	Balassi Bálint utca 23.	 Balaton utca 3.										0			valójában a Balassi Bálint utca 21-23. egy épület			0	88
	Balassi Bálint utca 25 -- Balaton utca 4.	Balassi Bálint utca 25.	 Balaton utca 4.		47.511954,19.048017	5 emeletes bérpalota	bér	<palota>		5-S<emelet>			0						0	89
1055	Balaton utca 12.	Balaton utca 12.			47.511389,19.049646	Lakóház üzletekkel		<lakó>, <üzlet>;					0			tervekben eredetileg: Balaton utca 13. majd Pálffy GY. u 12; Nyitva: SZ-V 11:00-17:00			0	90
1054	Bank utca 5.	Bank utca 5.			47.50333,19.053594	lakóház		<lakó>, ;				na	0			4. H			0	91
	Bánya utca 1-3	Bánya utca 1-3.			47.490194,19.13074	földszintes ház				0-S<emelet>			0			http://www.utcafront.hu/Utcafront/Kik_vagyunk.html	(1) http://www.utcafront.hu/Utcafront/Kik_vagyunk.html	http://www.utcafront.hu	1	92
	Baross tér 10. -- Festetics György utca 1.	Baross tér 10.	 Festetics György utca 1.		47.499395,19.082301	Golden Park hotel		<park>,<hotel>	'Golden Park hotel'			24.o.	0						0	93
1082	Baross utca 100.	Baross utca 100.			47.48922,19.080932	ötemeletes ház				5-S<emelet>		MB	0			1966-ban óvóhelyet alakítanak ki			0	94
	Baross utca 112	Baross utca 112.										41. o	0						0	95
1082	Baross utca 116.	Baross utca 116.			47.488891,19.083693	ötemeletes ház				5-S<emelet>		MZs	0						0	96
1086	Baross utca 120 -- Lujza utca 40	Baross utca 120.	 Lujza utca 40.		47.489585,19.087633	háromemeletes ház				3-S<emelet>		41; MZs	0						0	97
1086	Baross utca 125	Baross utca 125.			47.489307,19.088793	ötemeletes ház				5-S<emelet>		42	0			Kép a szomszéd házról: http://www.ilyenisvoltbudapest.hu/ilyen-is-volt/nyolcadik-kerulet-jozsefvaros/item/baross-utca-123-1959-8-kerulet	(1) http://www.ilyenisvoltbudapest.hu/ilyen-is-volt/nyolcadik-kerulet-jozsefvaros/item/baross-utca-123-1959-8-kerulet	http://www.ilyenisvoltbudapest.hu	1	98
1086	Baross utca 127. -- Szeszgyár utca 1-3.	Baross utca 127.	 Szeszgyár utca 1-3.		47.489115,19.089076	lakóház		<lakó>, ;				150-151	0			az 1911-es címjegyzékben a Baross u. 125-ben Kauser János és neje lakik. A lakcímjegyzékben a Baross u. 125, 126-ben is Kauser (Melanie, István, Ilona, János és neje, valamint Árpád) lakik (a 127-ben nem) *** Vizmesterek Lapja. Fel. szerk. és kiadó; tul.: beregi Baradlay-Bencskó János. Szerk. és kiadóhiv.: VIII, Barossutcza 127. *** http://www.szecessziosmagazin.com/budapesthely.php?kerulet=08&cim=visi-imre-u-7&cimtxt=%20CIM ; *** Visi Imréről fotó: http://www.fortepan.hu/?tags=&x=0&y=0&view=query&lang=hu&q=visi+imre	(1) http://www.szecessziosmagazin.com/budapesthely.php?kerulet=08&cim=visi-imre-u-7&cimtxt=%20CIM (2) http://www.fortepan.hu/?tags=&x=0&y=0&view=query&lang=hu&q=visi+imre	http://www.szecessziosmagazin.com|http://www.fortepan.hu	2	99
	Baross utca 19.	Baross utca 19.				Lakóház		<lakó>, ;					0			1em, eklektikus bérház 1867, átalakítások 1887-88			0	100
	Baross utca 21.	Baross utca 21.											0						0	101
1085	Baross utca 32.ab	Baross utca 32/ab			47.489267,19.067039	ötemeletes ház				5-S<emelet>		28.o.	0						0	102
1082	Baross utca 45.	Baross utca 45.			47.489267, 19.069412	lakóház		<lakó>, ;					0			1em, eklektikus bérház 1884, +1em 1886; Fortepanon: Baross u. 46. keresésre 1956-os képek ; A házban 3 lépcsőház is van. Eléggé lepukkant ház. A bejárat után a két oldalon nagyon szép dombormű található.			0	103
1082	Baross utca 74.	Baross utca 74.			47.489699,19.076723	lakóház		<lakó>, ;				91-93	0						0	104
1083	Baross utca 75.	Baross utca 75.			47.489419,19.077029	ötemeletes ház				5-S<emelet>		33.o.	0						0	105
	Baross utca 77.	Baross utca 77.				lakóház		<lakó>, ;					0			fdszt-es lakóépület 1856, toldalék: 1860			0	106
1082	Baross utca 86-88. -- Szűz utca 4. -- Magdolna utca 1-3. -- Vasas köz	Baross utca 86-88.	Szűz utca 4.	Magdolna utca 1-3. -- Vasas köz	47.489802,19.078327	Lakóház - 2 belső udvarral	w	<lakó>, W<belsőudvar>;				294	0			vasbeton tervek és felvonó, 1913			0	107
