item,itemLabel,givenNameLabel,lastnameLabel,birthdate,deathdate,nationalityLabel,itemDescription
http://www.wikidata.org/entity/Q20437929,András T. Mészáros,,András,1954-07-04T00:00:00Z,,Hungary,(1954–) Hungarian politician
http://www.wikidata.org/entity/Q108214082,András Tulok,,András,1950-11-29T00:00:00Z,,Hungary,fotográfus
http://www.wikidata.org/entity/Q33133508,Anna Halász,Halász,Anna,1836-01-01T00:00:00Z,1890-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q115166867,Annamária Gróf,Gróf,Annamária,1971-03-31T00:00:00Z,,Hungary,Hungarian photographer (born: 1971)
http://www.wikidata.org/entity/Q107695252,Antal Balkányi,Balkányi,Antal,1875-02-11T00:00:00Z,1958-01-01T00:00:00Z,Hungary,"photographer, poet, writer"
http://www.wikidata.org/entity/Q107695252,Antal Balkányi,Balkányi,Antal,1875-02-11T00:00:00Z,1958-01-01T00:00:00Z,United States of America,"photographer, poet, writer"
http://www.wikidata.org/entity/Q25468431,Antal Farkas,Farkas,Antal,1960-06-22T00:00:00Z,2012-01-11T00:00:00Z,Hungary,(1960-2012) magyar fotó- és grafikusművész
http://www.wikidata.org/entity/Q25468431,Antal Farkas,Farkas,Jama,1960-06-22T00:00:00Z,2012-01-11T00:00:00Z,Hungary,(1960-2012) magyar fotó- és grafikusművész
http://www.wikidata.org/entity/Q1119842,Antal Kotnyek,,Antal,1921-01-16T00:00:00Z,1990-11-17T00:00:00Z,Hungary,Hungarian photographer (1921-1990)
http://www.wikidata.org/entity/Q570769,Antal Lux,Lux,Antal,1935-04-18T00:00:00Z,,Hungary,German painter
http://www.wikidata.org/entity/Q570769,Antal Lux,Lux,Antal,1935-04-18T00:00:00Z,,Germany,German painter
http://www.wikidata.org/entity/Q18511590,Antal Simonyi,Simonyi,Antal,1821-06-03T00:00:00Z,1892-01-03T00:00:00Z,Hungary,Hungarian photographer (1821-1892)
http://www.wikidata.org/entity/Q33133514,Antal Weinwurm,Weinwurm,Antal,1845-01-01T00:00:00Z,1918-07-09T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q121484311,Antal Wormser,Wormser,Antal,1931-04-20T00:00:00Z,,Hungary,Hungarian photographer and photojournalist
http://www.wikidata.org/entity/Q121484311,Antal Wormser,Wormser,Antal,1931-04-20T00:00:00Z,,Hungary,Hungarian photographer and photojournalist
http://www.wikidata.org/entity/Q58378565,Arthur Szilágyi,Szilágyi,Arthur,1876-04-05T00:00:00Z,1954-02-04T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Kando,Ata,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Hungary,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Kando,Etelka,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Hungary,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Görög,Ata,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Hungary,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Görög,Etelka,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Hungary,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Kando,Ata,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Germany,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Kando,Etelka,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Germany,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Görög,Ata,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Germany,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Görög,Etelka,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Germany,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Kando,Ata,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Kingdom of the Netherlands,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Kando,Etelka,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Kingdom of the Netherlands,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Görög,Ata,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Kingdom of the Netherlands,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q1880833,Ata Kandó,Görög,Etelka,1913-09-17T00:00:00Z,2017-09-14T00:00:00Z,Kingdom of the Netherlands,Dutch photographer (1913-2017)
http://www.wikidata.org/entity/Q111362987,Attila Alapfy,Alapfy,Attila,1930-03-26T00:00:00Z,2016-06-01T00:00:00Z,Hungary,born 1930.03.26; photographer
http://www.wikidata.org/entity/Q499982,Attila Bartis,Bartis,Attila,1968-01-22T00:00:00Z,,Hungary,Hungarian writer and photographer
http://www.wikidata.org/entity/Q499982,Attila Bartis,Bartis,Attila,1968-01-22T00:00:00Z,,Romania,Hungarian writer and photographer
http://www.wikidata.org/entity/Q758080,Attila Csörgő,,Attila,1965-03-29T00:00:00Z,,Hungary,Hungarian artist
http://www.wikidata.org/entity/Q97202561,Attila Mudrák,Mudrák,Attila,1958-04-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q51676971,Attila Vécsy,,Attila,1954-03-21T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q788591,Bahget Iskander,Iskander,,1943-08-14T00:00:00Z,,Hungary,Hungarian cinematographer
http://www.wikidata.org/entity/Q788591,Bahget Iskander,Iskander,,1943-08-14T00:00:00Z,,Syria,Hungarian cinematographer
http://www.wikidata.org/entity/Q4852665,Balthazar Korab,Korab,Balthazar,1926-02-16T00:00:00Z,2013-01-15T00:00:00Z,Hungary,American photographer
http://www.wikidata.org/entity/Q4852665,Balthazar Korab,Korab,Boldizsár,1926-02-16T00:00:00Z,2013-01-15T00:00:00Z,Hungary,American photographer
http://www.wikidata.org/entity/Q4852665,Balthazar Korab,Korab,Balthazar,1926-02-16T00:00:00Z,2013-01-15T00:00:00Z,United States of America,American photographer
http://www.wikidata.org/entity/Q4852665,Balthazar Korab,Korab,Boldizsár,1926-02-16T00:00:00Z,2013-01-15T00:00:00Z,United States of America,American photographer
http://www.wikidata.org/entity/Q23042205,Balázs Horváth,Horváth,Balázs,1952-01-09T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q23042205,Balázs Horváth,Horváth,Balázs,1952-01-09T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1178349,Balázs Mohai,,Balázs,1984-10-07T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q22133135,Balázs Telek,Telek,Balázs,1974-05-09T00:00:00Z,2015-09-23T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q852045,Barna Burger,Burger,Barna,1965-02-24T00:00:00Z,2017-02-21T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q106774740,Barna Danis,Danis,Barna,1944-01-01T00:00:00Z,2017-04-01T00:00:00Z,Hungary,"Hungarian photojournalist, photographer (1944-2018)"
http://www.wikidata.org/entity/Q75610027,Bela Kalman,Kálmán,Béla,1921-07-29T00:00:00Z,2011-06-26T00:00:00Z,Hungary,photographer
http://www.wikidata.org/entity/Q75610027,Bela Kalman,Kálmán,Béla,1921-07-29T00:00:00Z,2011-06-26T00:00:00Z,United States of America,photographer
http://www.wikidata.org/entity/Q97501730,Ben G. Fodor,,Ben,1953-02-21T00:00:00Z,,Hungary,
http://www.wikidata.org/entity/Q1212679,Bence Máté,Máté,Bence,1985-02-26T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q55825658,Bencze László,Bencze,László,1949-04-08T00:00:00Z,2014-09-12T00:00:00Z,Hungary,
http://www.wikidata.org/entity/Q28226136,Benda Iván,Benda,Iván,1949-09-24T00:00:00Z,,Hungary,(1949-) magyar fotográfus
http://www.wikidata.org/entity/Q1468076,Boris Zsigmondi,,Barbora,1908-06-17T00:00:00Z,1978-03-02T00:00:00Z,Hungary,Slovak photographer
http://www.wikidata.org/entity/Q1468076,Boris Zsigmondi,,Boris,1908-06-17T00:00:00Z,1978-03-02T00:00:00Z,Hungary,Slovak photographer
http://www.wikidata.org/entity/Q31091493,Botos Tamás,Botos,Tamás,http://www.wikidata.org/.well-known/genid/1ab1ddd59a0dbd7f4da71c8b982debc4,,Hungary,(?) fotóriporter
http://www.wikidata.org/entity/Q354804,Brassaï,Halász,Gyula,1899-09-09T00:00:00Z,1984-07-08T00:00:00Z,Hungary,Hungarian-French photographer
http://www.wikidata.org/entity/Q354804,Brassaï,Halász,Gyula,1899-09-09T00:00:00Z,1984-07-08T00:00:00Z,France,Hungarian-French photographer
http://www.wikidata.org/entity/Q113782247,Bruno Bourel,Bourel,Bruno,1957-01-01T00:00:00Z,,Hungary,French photographer
http://www.wikidata.org/entity/Q113782247,Bruno Bourel,Bourel,Bruno,1957-01-01T00:00:00Z,,France,French photographer
http://www.wikidata.org/entity/Q56390648,Bálint Flesch,Flesch,Bálint,1949-06-05T00:00:00Z,,Hungary,(1949–)
http://www.wikidata.org/entity/Q108047973,Bálint Horváth,Horváth,Bálint,1865-01-01T00:00:00Z,1947-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q108047973,Bálint Horváth,Horváth,Bálint,1865-01-01T00:00:00Z,1947-01-01T00:00:00Z,Romania,Hungarian photographer
http://www.wikidata.org/entity/Q28744972,Bálint Trunkó,,Bálint,1982-02-09T00:00:00Z,,Hungary,(1982–) Hungarian photographer
http://www.wikidata.org/entity/Q112504833,Bálint Vincze,Vincze,Bálint,1959-01-01T00:00:00Z,,Hungary,"(1959) fotográfus, tipográfus"
http://www.wikidata.org/entity/Q56391118,Bánhalmi Norbert,,Norbert,1979-05-14T00:00:00Z,,Hungary,(1979-) magyar fotográfus
http://www.wikidata.org/entity/Q119020831,Béla Balassa,Balassa,Béla,1892-04-23T00:00:00Z,1949-12-21T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q469963,Béla Balázs,Balázs,Béla,1884-08-04T00:00:00Z,1949-05-17T00:00:00Z,Hungary,"Hungarian film critic, aesthetician, writer and poet (1884–1949)"
http://www.wikidata.org/entity/Q42770149,Béla Brunhuber,Brunhuber,Béla,1874-05-19T00:00:00Z,1953-02-12T00:00:00Z,Hungary,(1874–1953) Hungarian photographer
http://www.wikidata.org/entity/Q24398940,Béla Jávori,,Béla,1931-01-20T00:00:00Z,2008-11-28T00:00:00Z,Hungary,"(1931-2008) magyar újságíró, főszerkesztő, fotóművész"
http://www.wikidata.org/entity/Q84570851,Béla Kanyó,Kanyó,Béla,1939-10-01T00:00:00Z,2020-02-01T00:00:00Z,Hungary,Hungarian photographer (1939-2020)
http://www.wikidata.org/entity/Q1118183,Béla Kondor,Kondor,Béla,1931-02-17T00:00:00Z,1972-12-12T00:00:00Z,Hungary,Hungarian artist (1931-1972)
http://www.wikidata.org/entity/Q120314038,Béla Kása,,Béla,1952-06-20T00:00:00Z,,Hungary,Hungarian photographer (born: 1952)
http://www.wikidata.org/entity/Q1125589,Béla Körtési,,Béla,1955-05-06T00:00:00Z,2018-04-03T00:00:00Z,Hungary,"magyar operatőr, fotóművész"
http://www.wikidata.org/entity/Q54901421,Béla Szilárdi,,Béla,1940-11-12T00:00:00Z,,Hungary,"festő-, grafikus- és fotóművész"
http://www.wikidata.org/entity/Q12816456,Béla Tarczai,,Béla,1922-10-21T00:00:00Z,2013-02-26T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q5005037,Béla Zsitkovszky,,Béla,1868-04-03T00:00:00Z,1930-09-16T00:00:00Z,Hungary,film director
http://www.wikidata.org/entity/Q86735606,C. van Huut-Kardos,Kardos,Claire,1900-01-01T00:00:00Z,,Hungary,"(19.-20. sz.) grafikus, festőművész, Szumátrán dolgozott, második - holland - férje nevét is felvette"
http://www.wikidata.org/entity/Q86735606,C. van Huut-Kardos,Kardos,Klára,1900-01-01T00:00:00Z,,Hungary,"(19.-20. sz.) grafikus, festőművész, Szumátrán dolgozott, második - holland - férje nevét is felvette"
http://www.wikidata.org/entity/Q86735606,C. van Huut-Kardos,Kardos,Claire,1900-01-01T00:00:00Z,,Kingdom of the Netherlands,"(19.-20. sz.) grafikus, festőművész, Szumátrán dolgozott, második - holland - férje nevét is felvette"
http://www.wikidata.org/entity/Q86735606,C. van Huut-Kardos,Kardos,Klára,1900-01-01T00:00:00Z,,Kingdom of the Netherlands,"(19.-20. sz.) grafikus, festőművész, Szumátrán dolgozott, második - holland - férje nevét is felvette"
http://www.wikidata.org/entity/Q9697241,Carlos Moskovics,Moskovics,Carlos,1916-01-01T00:00:00Z,1988-01-01T00:00:00Z,Hungary,Brazilian photographer
http://www.wikidata.org/entity/Q116700605,Category:Gábor Városi,,Gábor,1965-12-10T00:00:00Z,,Hungary,
http://www.wikidata.org/entity/Q29515039,Charles Rado,,Charles,1899-01-01T00:00:00Z,1970-10-04T00:00:00Z,Hungary,American Hungarian-born photographer
http://www.wikidata.org/entity/Q29515039,Charles Rado,,Charles,1899-01-01T00:00:00Z,1970-10-04T00:00:00Z,United States of America,American Hungarian-born photographer
http://www.wikidata.org/entity/Q2960141,Charles Rohonyi,Rohonyi,Károly,1906-09-12T00:00:00Z,1998-05-05T00:00:00Z,Hungary,Hungarian poster artist (1906-1998)
http://www.wikidata.org/entity/Q2960141,Charles Rohonyi,Rohonyi,Charles,1906-09-12T00:00:00Z,1998-05-05T00:00:00Z,Hungary,Hungarian poster artist (1906-1998)
http://www.wikidata.org/entity/Q65217072,Cinthya Dictator,Gombos,Mercédesz,1990-01-12T00:00:00Z,,Hungary,"(1990-) magyar modell, fotóművész, televíziós szereplő"
http://www.wikidata.org/entity/Q65217072,Cinthya Dictator,Gombos,Cintia,1990-01-12T00:00:00Z,,Hungary,"(1990-) magyar modell, fotóművész, televíziós szereplő"
http://www.wikidata.org/entity/Q112515106,Csaba Gedai,,Csaba,1968-11-17T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q106778749,Csilla Klenyánszki,,Csilla,1986-01-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q31092159,Csillag Pál,Csillag,Pál,1971-04-13T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q93395836,Daniel Fodor,Fodor,Dániel,1942-01-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q789419,Demeter Balla,Balla,Demeter,1931-05-04T00:00:00Z,2017-11-05T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q155786,Dennis Gabor,Gábor,Dennis,1900-06-05T00:00:00Z,1979-02-08T00:00:00Z,Hungary,Nobel Prize-winning physicist and inventor of holography
http://www.wikidata.org/entity/Q155786,Dennis Gabor,Gábor,Dennis,1900-06-05T00:00:00Z,1979-02-08T00:00:00Z,United Kingdom,Nobel Prize-winning physicist and inventor of holography
http://www.wikidata.org/entity/Q155786,Dennis Gabor,Gábor,Dennis,1900-06-05T00:00:00Z,1979-02-08T00:00:00Z,United Kingdom of Great Britain and Ireland,Nobel Prize-winning physicist and inventor of holography
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Moritz,1815-01-01T00:00:00Z,1882-01-01T00:00:00Z,Hungary,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Mór,1815-01-01T00:00:00Z,1882-01-01T00:00:00Z,Hungary,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Moritz,1815-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/0b9c99405b3f2395f9a04f6d2b1c56ef,Hungary,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Mór,1815-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/0b9c99405b3f2395f9a04f6d2b1c56ef,Hungary,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Moritz,1815-01-01T00:00:00Z,1882-01-01T00:00:00Z,Cisleithania,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Mór,1815-01-01T00:00:00Z,1882-01-01T00:00:00Z,Cisleithania,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Moritz,1815-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/0b9c99405b3f2395f9a04f6d2b1c56ef,Cisleithania,Hungarian painter
http://www.wikidata.org/entity/Q904549,Deutsch Mór (festő),Deutsch,Mór,1815-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/0b9c99405b3f2395f9a04f6d2b1c56ef,Cisleithania,Hungarian painter
http://www.wikidata.org/entity/Q831780,Dezo Hoffmann,Hoffmann,Dezider,1912-05-24T00:00:00Z,1986-03-26T00:00:00Z,Hungary,Slovak photographer and publicist (1912-1986)
http://www.wikidata.org/entity/Q38200877,Dezső Rozgonyi,Rozgonyi,Dezső,1850-01-01T00:00:00Z,1950-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q18164304,Dezső Révai,Reval,Dezső,1903-08-14T00:00:00Z,1996-03-31T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q18164304,Dezső Révai,Reval,Dezső,1903-08-14T00:00:00Z,1996-03-31T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q123915576,Dezső Széki,Széki,Dezső,1930-01-01T00:00:00Z,2023-11-30T00:00:00Z,Hungary,"Hungarian bus driver, photographer (c. 1930-2023)"
http://www.wikidata.org/entity/Q908141,Dombovári Tibor,,Tibor,1956-03-06T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q106778805,Dorottya Vékony,Vékony,Dorottya,1985-01-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q5320088,Dániel Halász,,Dániel,1981-01-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1107677,Dániel Kertész,Kertész,Dániel,1963-01-25T00:00:00Z,,Hungary,"(1963-) magyar grafikus, fotográfus, festő, bélyegtervező"
http://www.wikidata.org/entity/Q21559337,Dániel Kovalovszky,,Dániel,1979-11-10T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q5320097,Dániel Németh,,Dániel,1975-01-01T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q113723719,Dávid Egon Burkus,,Egon,1994-01-02T00:00:00Z,,Hungary,"film director, painter, drama teacher (1994-)"
http://www.wikidata.org/entity/Q113723719,Dávid Egon Burkus,,Dávid,1994-01-02T00:00:00Z,,Hungary,"film director, painter, drama teacher (1994-)"
http://www.wikidata.org/entity/Q1055413,Dávid Horváth,Horváth,Dávid,1948-12-21T00:00:00Z,2017-01-31T00:00:00Z,Hungary,Hungarian photographer (1948-2017)
http://www.wikidata.org/entity/Q70690874,Dénes Rónai,Rónai,Dénes,1875-07-10T00:00:00Z,1964-04-08T00:00:00Z,Hungary,"Hungarian photographer, puppeteer, film director, cinematographer and photo artist (1875-1964)"
http://www.wikidata.org/entity/Q70690874,Dénes Rónai,Rónai,Dénes,1875-07-10T00:00:00Z,1964-04-08T00:00:00Z,Hungary,"Hungarian photographer, puppeteer, film director, cinematographer and photo artist (1875-1964)"
http://www.wikidata.org/entity/Q1167159,Dóra Maurer,Maurer,Dora,1937-06-11T00:00:00Z,,Hungary,Hungarian artist (born 1937)
http://www.wikidata.org/entity/Q107549241,Ede Bäumler,Bäumler,Ede,1876-03-16T00:00:00Z,1932-02-19T00:00:00Z,Hungary,"bicycle champion, photographer (1876-1932)"
http://www.wikidata.org/entity/Q40040811,Ede Décsey,,Ede,,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q30611436,Ede Ellinger,Ellinger,Ede,1846-01-01T00:00:00Z,1915-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q87113733,Ede Schmidt,Schmidt,Ede,1857-01-01T00:00:00Z,1933-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1283171,Ede Tomori,Tomori,Ede,1920-04-28T00:00:00Z,1997-12-30T00:00:00Z,Hungary,Hungarian photographer (1920-1997)
http://www.wikidata.org/entity/Q1178584,Edit Molnár,Molnár,blake,1933-07-30T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1178584,Edit Molnár,Molnár,blake,1933-07-30T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1178584,Edit Molnár,Molnár,blake,1933-07-30T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q60416627,Egon Endrényi,,Egon,1946-05-06T00:00:00Z,2014-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q43369976,Elek Papp,Papp,Elek,1965-08-20T00:00:00Z,,Hungary,"magyar mérnök, tanár, optikus mester, diplomás optometrista és kontaktológus, fotóművész."
http://www.wikidata.org/entity/Q1420575,Elemér Vattay,Vattay,Elemér,1931-03-26T00:00:00Z,2012-07-31T00:00:00Z,Hungary,Hungarian photographer (1931-2012)
http://www.wikidata.org/entity/Q107143638,Eleonora Clara Gyarfas,Liu,Eleonora,1924-08-09T00:00:00Z,2016-02-27T00:00:00Z,Hungary,chemist and technical translator
http://www.wikidata.org/entity/Q580441,Elvira Albrecht,Albrecht,Elvira,1920-05-16T00:00:00Z,1998-07-09T00:00:00Z,Hungary,Photographer (1920-1998)
http://www.wikidata.org/entity/Q97314877,Emil Szegedi,Szegedi,Emil,1907-05-01T00:00:00Z,1980-05-24T00:00:00Z,Hungary,"Hungarian journalist, photographer (1907-1980)"
http://www.wikidata.org/entity/Q15513391,Emma Váncza,,Emma,1863-01-01T00:00:00Z,1943-01-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q58640382,Emérico Weisz,Weisz,Imre,1911-10-21T00:00:00Z,2007-01-14T00:00:00Z,Hungary,Hungarian born Mexican photographer (1911-2007)
http://www.wikidata.org/entity/Q58640382,Emérico Weisz,Weisz,Emerico,1911-10-21T00:00:00Z,2007-01-14T00:00:00Z,Hungary,Hungarian born Mexican photographer (1911-2007)
http://www.wikidata.org/entity/Q55569384,Endre Friedmann,Friedmann,Endre,1934-07-04T00:00:00Z,2018-07-15T00:00:00Z,Hungary,"magyar fotográfus, fotóriporter"
http://www.wikidata.org/entity/Q16521594,Endre Lábass,,Endre,1957-04-28T00:00:00Z,,Hungary,"magyar író, festő, fotóművész."
http://www.wikidata.org/entity/Q103512220,Endre Rácz,Rácz,Endre,1940-03-20T00:00:00Z,,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q65215200,Endre Schwanner,,Endre,1928-03-20T00:00:00Z,2021-05-01T00:00:00Z,Hungary,Hungarian photographer
http://www.wikidata.org/entity/Q1326982,Endre Tót,,Endre,1937-11-05T00:00:00Z,,Hungary,Hungarian artist
http://www.wikidata.org/entity/Q1030858,Enikő Gábor,Gábor,Enikő,1972-11-18T00:00:00Z,,Hungary,"(1972–) magyar festő, fotográfus"
http://www.wikidata.org/entity/Q15272066,Erika Lakatos,Lakatos,Erika,1964-01-01T00:00:00Z,,Hungary,"magyar fotóművész, dzsesszénekes"
